Country:,Count:,Latitude:,Longitude:
North Pacific Ocean,1,26.95235,-169.38414
North Sea,10,56,3
Northern Ireland,2,53.41291,-8.24389
Norway,27,60.472024,8.468946
Okinawa,5,26.359266,127.756744
Oman,2,21.512583,55.923255
Pacific Ocean,13,-8.783195,30.5114
Pakistan,37,30.375321,69.345116
Palestine,1,31.952162,35.233154
Panama,14,8.537981,-80.782127
Papua New Guinea,21,-6.314993,143.95555
Paraguay,5,-23.442503,-58.443832
Persian Gulf,2,26.076521,52.624512
Peru,54,-9.189967,-75.015152
Pest Hungary,1,47.497913,19.040236
Philippines,78,12.879721,121.774017
Poland,14,51.919438,19.145136
Portugal,17,39.399872,-8.224454
Puerto Rico,18,18.220833,-66.590149
Qatar,2,25.354826,51.183884
Reunion,1,-20.878901,55.448101
Rhodesia,1,53.31442,-1.15488
Romania,25,45.943161,24.96676
Russia,295,61.52401,105.318756
Rwanda,3,-1.940278,29.873888
Saint Lucia Island,1,13.909444,-60.978893
Samoa,1,-13.759029,-172.104629
Sarawak,1,2.287778,111.830833
Sardinia,1,39.227779,9.111111
Saskatchewan,2,55,-106
Saudi Arabia,17,23.885942,45.079162
Scotland,23,55.860916,-4.251433
Senegal,8,14.497401,-14.452362
Siberia,1,53.5,108
Sierra Leone,3,8.460555,-11.779889
Singapore,2,1.352083,103.819836
Sirte,1,31.20528,16.588369
Slovakia,2,48.669026,19.699024
Slovenia,2,46.151241,14.995463
Solomon Islands,2,-9.64571,160.156194
Somalia,9,5.152149,46.199616
Somaliland,1,9.411743,46.825284
South Africa,20,-30.559482,22.937506
South Kazakhstan,1,42.341686,69.590103
South Korea,17,35.907757,127.766922
South of Gibraltar,1,36.137741,-5.345374
Spain,60,40.463667,-3.74922
Sri Lanka,14,7.873054,80.771797
Sudan,30,12.862807,30.217636
Suriname,5,3.919305,-56.027783
Sweden,12,46.818188,8.227512
Switzerland,20,60.128161,18.643501
Syria,10,34.802075,38.996815
Tahiti,1,-17.535,-149.569595
Taiwan,36,23.69781,120.960515
Tajikistan,3,38.861034,71.276093
Tanganyika,1,-6.5,29.833332
Tanzania,5,-6.369028,34.888822
Thailand,22,15.870032,100.992541
Timor,2,-8.874217,125.727539
Tonkin,1,19.84138889,107.8236111
