Operator,No.OfCrashes
Aeroflot,254
Military - U.S. Air Force,141
Air France,71
Deutsche Lufthansa,62
United Air Lines,44
Military - U.S. Army Air Forces,43
China National Aviation Corporation,42
Pan American World Airways,41
American Airlines,37
US Aerial Mail Service,35
Indian Airlines,34
KLM Royal Dutch Airlines,34
Philippine Air Lines,33
Military - Royal Air Force,32
Private,31
British Overseas Airways,29
Military - U.S. Navy,28
Avianca,27
Military - U.S. Army,27
